index,compounds,rA (A),rB(A),rX (A),vA,vB,vX,eA,eB,eX,a (A),b (A),c (A),a (A) [5],b (A) [5],c (A) [5]
,DyMnO3,1.19,0.645,1.4,3,3,-2,1.22,1.55,3.44,5.275,5.828,7.375,5.267,5.288,7.466
,DyRhO3,1.19,0.665,1.4,3,3,-2,1.22,2.28,3.44,5.245,5.731,7.6,5.3,5.321,7.513
,DyTiO3,1.19,0.67,1.4,3,3,-2,1.22,1.54,3.44,5.361,5.659,7.647,5.308,5.33,7.524
,DyScO3,1.19,0.745,1.4,3,3,-2,1.22,1.36,3.44,5.43,5.71,7.89,5.432,5.454,7.7
,DyInO3,1.19,0.8,1.4,3,3,-2,1.22,1.78,3.44,5.519,5.751,8.041,5.523,5.546,7.829
,HoAlO3,1.18,0.535,1.4,3,3,-2,1.23,1.61,3.44,5.18,5.33,7.36,5.068,5.089,7.184
,HoCrO3,1.18,0.615,1.4,3,3,-2,1.23,1.66,3.44,5.243,5.519,7.538,5.201,5.222,7.372
,HoGaO3,1.18,0.62,1.4,3,3,-2,1.23,1.81,3.44,5.251,5.531,7.536,5.209,5.23,7.384
,HoFeO3,1.18,0.645,1.4,3,3,-2,1.23,1.83,3.44,5.278,5.591,7.602,5.25,5.272,7.442
,HoMnO3,1.18,0.645,1.4,3,3,-2,1.23,1.55,3.44,5.255,5.831,7.354,5.25,5.272,7.442
,HoRhO3,1.18,0.665,1.4,3,3,-2,1.23,2.28,3.44,5.23,5.726,7.582,5.283,5.305,7.489
,HoTiO3,1.18,0.67,1.4,3,3,-2,1.23,1.54,3.44,5.339,5.665,7.626,5.292,5.313,7.501
,HoScO3,1.18,0.745,1.4,3,3,-2,1.23,1.36,3.44,5.42,5.71,7.87,5.416,5.438,7.677
,ErAlO3,1.17,0.535,1.4,3,3,-2,1.24,1.61,3.44,5.16,5.32,7.33,5.052,5.072,7.161
,ErCrO3,1.17,0.615,1.4,3,3,-2,1.24,1.66,3.44,5.223,5.516,7.519,5.184,5.205,7.348
,ErGaO3,1.17,0.62,1.4,3,3,-2,1.24,1.81,3.44,5.239,5.527,7.522,5.193,5.213,7.36
,ErFeO3,1.17,0.645,1.4,3,3,-2,1.24,1.83,3.44,5.263,5.582,7.591,5.234,5.255,7.419
,ErVO3,1.17,0.64,1.4,3,3,-2,1.24,1.63,3.44,5.262,5.604,7.578,5.226,5.247,7.407
,ErMnO3,1.17,0.645,1.4,3,3,-2,1.24,1.55,3.44,5.24,5.82,7.335,5.234,5.255,7.419
,ErRhO3,1.17,0.665,1.4,3,3,-2,1.24,2.28,3.44,5.216,5.712,7.561,5.267,5.288,7.466
,ErTiO3,1.17,0.67,1.4,3,3,-2,1.24,1.54,3.44,5.318,5.657,7.613,5.275,5.296,7.477
,TmAlO3,1.16,0.535,1.4,3,3,-2,1.25,1.61,3.44,5.15,5.33,7.29,5.035,5.056,7.137
,TmCrO3,1.16,0.615,1.4,3,3,-2,1.25,1.66,3.44,5.209,5.508,7.5,5.168,5.189,7.325
,TmGaO3,1.16,0.62,1.4,3,3,-2,1.25,1.81,3.44,5.224,5.515,7.505,5.176,5.197,7.337
,TmFeO3,1.16,0.645,1.4,3,3,-2,1.25,1.83,3.44,5.251,5.576,7.584,5.217,5.238,7.395
,TmMnO3,1.16,0.645,1.4,3,3,-2,1.25,1.55,3.44,5.23,5.81,7.32,5.217,5.238,7.395
,TmRhO3,1.16,0.665,1.4,3,3,-2,1.25,2.28,3.44,5.203,5.697,7.543,5.25,5.272,7.442
,TmTiO3,1.16,0.67,1.4,3,3,-2,1.25,1.54,3.44,5.306,5.647,7.607,5.259,5.28,7.454
,YbAlO3,1.15,0.535,1.4,3,3,-2,1.1,1.61,3.44,5.12,5.33,7.31,5.019,5.039,7.114
,YbCrO3,1.15,0.615,1.4,3,3,-2,1.1,1.66,3.44,5.195,5.51,7.49,5.151,5.172,7.302
,YbGaO3,1.15,0.62,1.4,3,3,-2,1.1,1.81,3.44,5.208,5.51,7.49,5.159,5.18,7.313
,YbFeO3,1.15,0.645,1.4,3,3,-2,1.1,1.83,3.44,5.233,5.557,7.57,5.201,5.222,7.372
,YbMnO3,1.15,0.645,1.4,3,3,-2,1.1,1.55,3.44,5.22,5.8,7.3,5.201,5.222,7.372
,YbTiO3,1.15,0.67,1.4,3,3,-2,1.1,1.54,3.44,5.293,5.633,7.598,5.242,5.263,7.43
,LuCrO3,1.14,0.615,1.4,3,3,-2,1.27,1.66,3.44,5.176,5.497,7.475,5.135,5.155,7.278
,LuGaO3,1.14,0.62,1.4,3,3,-2,1.27,1.81,3.44,5.188,5.505,7.484,5.143,5.164,7.29
,LuFeO3,1.14,0.645,1.4,3,3,-2,1.27,1.83,3.44,5.213,5.547,7.565,5.184,5.205,7.348
,LuMnO3,1.14,0.645,1.4,3,3,-2,1.27,1.55,3.44,5.205,5.79,7.31,5.184,5.205,7.348
,LuRhO3,1.14,0.665,1.4,3,3,-2,1.27,2.28,3.44,5.186,5.67,7.512,5.217,5.238,7.395
,LuTiO3,1.14,0.67,1.4,3,3,-2,1.27,1.54,3.44,5.274,5.633,7.58,5.226,5.247,7.407
,YAlO3,1.2,0.535,1.4,3,3,-2,1.22,1.61,3.44,5.179,5.329,7.37,5.102,5.122,7.231
,YCrO3,1.2,0.615,1.4,3,3,-2,1.22,1.66,3.44,5.241,5.521,7.532,5.234,5.255,7.419
,YGaO3,1.2,0.62,1.4,3,3,-2,1.22,1.81,3.44,5.257,5.536,7.533,5.242,5.263,7.43
,YFeO3,1.2,0.645,1.4,3,3,-2,1.22,1.83,3.44,5.283,5.592,7.603,5.283,5.305,7.489
,YVO3,1.2,0.64,1.4,3,3,-2,1.22,1.63,3.44,5.284,5.605,7.587,5.275,5.296,7.477
,YMnO3,1.2,0.645,1.4,3,3,-2,1.22,1.55,3.44,5.26,5.83,7.36,5.283,5.305,7.489
,YTiO3,1.2,0.67,1.4,3,3,-2,1.22,1.54,3.44,5.34,5.665,7.624,5.325,5.346,7.548
,YScO3,1.2,0.745,1.4,3,3,-2,1.22,1.36,3.44,5.431,5.712,7.894,5.449,5.471,7.723
,YInO3,1.2,0.8,1.4,3,3,-2,1.22,1.78,3.44,5.5,5.787,8.053,5.54,5.562,7.852
