index,compounds,rA (A),rB (A),rX (A),vA,vB,vX,eA,eB,eX,a (A),a [Jiang] (A),reference
129,LiBaF 3,1.35,0.68,1.33,1,2,-1,0.98,0.89,3.98,3.992,3.984,[1]
130,NaCoF3,1.02,0.55,1.33,1,2,-1,0.93,1.88,3.98,3.9,,[3]
131,NaMgF3,1.02,0.72,1.33,1,2,-1,0.93,1.31,3.98,3.84,,[3]
132,NaVF3,1.02,0.79,1.33,1,2,-1,0.93,1.63,3.98,3.94,3.955,[1]
133,NaZnF3,1.02,0.74,1.33,1,2,-1,0.93,1.65,3.98,3.88,,[3]
134,RbCaF3,1.52,1,1.33,1,2,-1,0.82,1,3.98,4.452,4.471,[1]
135,RbCdF3,1.52,0.95,1.33,1,2,-1,0.82,1.69,3.98,4.398,4.405,[1]
136,RbCoF3,1.52,0.74,1.33,1,2,-1,0.82,1.88,3.98,4.141,4.143,[1]
137,RbFeF 3,1.52,0.78,1.33,1,2,-1,0.82,1.83,3.98,4.174,4.191,[1]
138,RbHgF3,1.52,1.02,1.33,1,2,-1,0.82,2,3.98,4.47,4.498,[1]
139,RbMnF 3,1.52,0.83,1.33,1,2,-1,0.82,1.55,3.98,4.24,4.252,[1]
140,RbPbF 3,1.52,1.19,1.33,1,2,-1,0.82,2.33,3.98,4.79,4.732,[1]
141,RbPdF3,1.52,0.86,1.33,1,2,-1,0.82,2.2,3.98,4.298,4.29,[1]
142,RbVF3,1.52,0.79,1.33,1,2,-1,0.82,1.63,3.98,4.17,4.203,[1]
143,RbYbF3,1.52,1.02,1.33,1,2,-1,0.82,1.1,3.98,4.53,4.498,[1]
144,RbZnF3,1.52,0.74,1.33,1,2,-1,0.82,1.65,3.98,4.122,4.143,[1]
145,TlCdF3,1.5,0.95,1.33,1,2,-1,1.62,1.69,3.98,4.4,4.396,[1]
146,TlCoF3,1.5,0.74,1.33,1,2,-1,1.62,1.88,3.98,4.138,4.133,[1]
147,TlFeF3,1.5,0.78,1.33,1,2,-1,1.62,1.83,3.98,4.188,4.181,[1]
148,TlMnCl 3,1.5,0.83,1.81,1,2,-1,1.62,1.55,3.16,5.02,5.087,[1]
149,TlMnF3,1.5,0.83,1.33,1,2,-1,1.62,1.55,3.98,4.26,4.243,[1]
150,TlPdF 3,1.5,0.86,1.33,1,2,-1,1.62,2.2,3.98,4.301,4.28,[1]
